75 52
N0001 ??00?101??1?0111?010?010110100001010000010010?1110010010??1?0111?1??0010100
N0002 0?1100?000?1?10000?0?0??0?001011110111101?10111?1001?11?10101001??10111??10
N0003 ?101100??001?0001111?01?111??110?010000?011110110010111100?11100?0?10?1?001
N0004 1110?10??0?00?110?1?0011??01011001101?00?0?000?101110010000?001?1010101010?
N0005 ?00001111000?001100000?1001?001110??010?1000010010101101111?1??0?0111??0??0
N0006 1??10101110111?10101??0?0111010100101110?00001?100010?00100???0010110010111
N0007 1101010?01111000??101110?0010??010??110101010?11001?10?0000000?1?101100?100
N0008 ?1010?11??11001111110000101101?1??1101??11?11000?10011011010010?110101011??
N0009 ?110?0110110001??10?00000111??1?0100?111?10?1010010011?001?1000?1??001010?1
N0010 11000001010?010011?011111101001?10000011000000011100101110?0001011010?0??01
N0011 000?111?0100111?010??11?100011101?????100?0?110???10??11?1100?01?011001?10?
N0012 10??1?0??1?0001?000100100?10001111000100??11110?100011?1000111?010?00111100
N0013 11000001100001?000110010??10100?0010101?000000101100?1110?01010100100010?10
N0014 0111111111110001111???0010101011100101100?1?11101?0011100001110111?01010100
N0015 111?010101001?0?001?0?101110?110?101?000001?1101??10?010110110001111?01011?
N0016 10000110100101001?0111111?01000?10000?010001?1?1?1111?0??111?101?10001??0?1
N0017 ?00?00000?000111??011??10?00?0100011100??0111?11?01?1?1110011100010111010??
N0018 1000??1?111?0010?1110?000000010010?1000011111??111?0???01000?01100?0????100
N0019 100?00?1?110001?1000?0011?1010111?10??1?1?111000?01?1?10001?110?10??0100001
N0020 110?011?01?11?10?0001?100???0?0101000101000?001101????01000111?00001?0111?1
N0021 0?0111?11110??10?101??1100?0?000??11000010?1?11100010???0??1110?01001?1?000
N0022 ?10?100010001?0101??100?11?0?110001111?0100?001101?01100111?10??10101??1001
N0023 ?11??0100?110?11??10????00011110?011?0101011111?1000010??001?0111001?010111
N0024 ?1110?01?01001110000101?0?100?1?00?0000?001?0?00?10010?011?11?010001??01110
N0025 ?001?0011110011100?10010000000?1101?01??0100111?0?0?1011100?01?1?1?0?0?1001
N0026 001001001101000011110?10110111111?001001?01011100?0?1000101?100100000101???
N0027 ?11001101101011?10000?1?010?0011??010010001?1101101001?1110011111?011100010
N0028 11100??011?000?01?0101?01?11??1?00?10001110000110101?10100111101111000?1001
N0029 1101?010011??010100110110?11?0??1?1000?1110?0???00000001?1110110011001?1110
N0030 0100111?1011??101?110001??1111?110??00110011?10???0??11?1??0??1??1100??0000
N0031 01??1111?10000001?011000110011?01?1001?1000111??010110111100101000100010011
N0032 1110??1101?000?101??00?11?10101000?01?0?0?000110?11?00??101?1101?1001111??1
N0033 00110000?01?110010?1?0011?010??1000?11111101000??000?10?011011001101?110100
N0034 ?1011101?01000010?0001?001011?00101?0010111??11?1?101011?0?10?11101??11100?
N0035 1?00000100?01100011??00101000110101?0010101?11001?10100?11?10101?0111?01111
N0036 1110?000001111000110111001111?10110?110?11111?11?101?00100?1101??01??010100
N0037 ?0011110000100?01101000001??11?1001101100?1100010110100110??010011010000110
N0038 ?011?010?11?10??11110???1?10?0000?0?01011?00?1101?00?11000000110010111010?0
N0039 0??1011??11110?001100011???1100?00100011?00?1111110110?011??1?01110?011010?
N0040 10?0011?10?1010?010??1??101???1100?100101001??1010?01011100?010??11?01?0101
N0041 101?0?01010111100??00?011100111011101?0?000?00111000001?011??01100??010101?
N0042 1?011?11101110001??0101111010101100?1100?011?1?000110011100111?1?01000?1101
N0043 010010111101?111001?11111101?0?01100?0?011?10?110??11101100111010111?11?0?0
N0044 10?010??010????01010?0?010?1000000?0?00?100?1011?1100011?011010010001010101
N0045 10?10110?10101010110100?01011?110?10?110?11??000010110?100110?0010010001?10
N0046 ?11101?11111??11?1001?100??11??00???11?111001???1?010?11011??111?10?0101?10
N0047 111101000011??0?100100101?00??0010?01?10100110011?1110010001001?1100010111?
N0048 110110111010000001101?1010001?0?10?001??0010111??100?1?11100011??1110?1100?
N0049 101?100011?10101100??00011100010010?1?101101101010?10?0??0011011011?1111001
N0050 10011???0010?001010100?011110?0??111110111?00101100011000011001?1?101?01100
N0051 00??110?10?1001010?0?00?0110010?1110?0110?0?010?10?11?00111?010?010?11?0?0?
N0052 ?1?001?010011?01?11111?00?0000?0?101?10?01010110011011011?1111100?0101001??

Percentual de inderteminacao ('?'): 20
