69 70
N0001 ??00?101??1????110010?010?11?1??0?????1?100??00?1?010?1110??100?0???1
N0002 ?0111??0?????1???1?0???1100?0??0??010????0?0?0?????0??101?011?1?111?1
N0003 ??1?111?1??01?11??0??1??0?01??1??1?10?1????1??01?????00?000???11100?0
N0004 11?0??11??01???????????111?0?1?1?010?1001?0?1?11?0????10?1?0??11?00??
N0005 1????0???0??11??1?0??11??0?1?1?1???1?1??0??0?0?000??1??011???10??00?0
N0006 01?1???1??0??0??1???000??111?1?0????????11?0????0??0?01?0??11?1???01?
N0007 ??1??0????1??010?0?11??1?1101?????0111??0??0?0?1010111??1?10101??1??0
N0008 ????111?1???1?010?111??00001??0?0???0??0??1??0?????0?0?1100101?1010?1
N0009 01?????1111????0???0?11?1??????1????0?1????00??0?1010??11????0?1??000
N0010 ??00???1?1???10?????1?0??1??1???10?11001?11101?000?1?1101??0?1101??1?
N0011 0?01?0???1001?0??00?1??010?1101???0?1?0???11?????01??11???01???0??0??
N0012 0????11?0?1?01?????1?10?0??101????1001?0?????0?0?00?1??00?1?1???11?1?
N0013 ????001010?01????1?0???111010??0?01??0?0??001100??00??0?011?01??1110?
N0014 0001??1?1?10?0??01????0??110??10???010010???101????0?110?1?????10???0
N0015 ?11??????1???11??11?0?01???1?1?01??0??10???00??1???????1???0???0?0?0?
N0016 0?1??????111100??100??11?11??1000?101000?1100?1??00?0001?0110??00???1
N0017 1?0??01?00???11???10???0??1?????????1??1?1?00??????010?10?0?11?1??010
N0018 1??10010????10??1?011111?001000???0111?0??00?0?101???111???10?11?0?1?
N0019 ?101??0??0111????????11?1??11001???0?100?110??1???1?1??0?00???01?0??0
N0020 ?1?11??1?1???1?1?00000?011??1???0??0?0??10?1100???11100?1?1?010??00?1
N0021 0?1?????1?100?0011111?0??100???1??000?010001?1?1??01100??1?00?1?1?100
N0022 ??1??0??00???00000?00??11?0???1?0?1?????0????0?0011100??0?01011????0?
N0023 011?1?0?011?????1??11?1??1???10??????1?111?????1???11?1??000????00?1?
N0024 ??1????1?0??01111?0?11?0?????0?0?0???011??0?0?????1????1?0?00?1?11??0
N0025 01?100???????11?1??10?10010???01?1?11???0???1?1??0???01??11???1???01?
N0026 ???0011?1??011?01??1010?0001??1?0??????01??1??????10?0?0???0??110?0??
N0027 ?0?1?0???1000000?0???11010?011?01?101???10??1?1???01????0?000??11????
N0028 0010??01110?????0????0??1?01??01001?1?00????1??1????0?0?????1?0?1??0?
N0029 100?11?0??01?0??1111????0??????0?00?1???1?0?01?10?1????0?1??1???1?01?
N0030 11????1??0?110?11??1??????0????1?010??0?00??10?1?11?110?1?????0?1???0
N0031 ???00?001???1???1011?01?01??0?0???1?0?111?000?1?1????10???1?00?????0?
N0032 ??0??1?0???0??1?010?0?00?100?1?001????11?0??001?0011?11?01?10?0?1??01
N0033 ??0??0??00??10??0???0????1???111?0?????1?111?????01?1?1?0?0?100100100
N0034 1????11010000?1000???1?11011111?0001001?0101?10?0?0?100??101??0???1??
N0035 ????0??10?0????11?0?11??10?101?010????0?1?0?1??0011??0?1?0?1?????1??0
N0036 1??01?1??01?11?1?0111?100?111?0???1??110?0??011?0??0?0?0??1??1?01?1?0
N0037 ?1?0???1000111??0001?1??1?1??0?10??11?01?1?100?00??0???11?0?1?0?1???1
N0038 1??0?1??1?01101?1???00?????01000?1110?0???0??0????0???0?001?11??0?10?
N0039 0?0111??0?1?0111?10?10?101??00?00?0?111?0?01?????011001?0?0?????????0
N0040 01???????0?1?0?0????0??0??1??1?000?1?0????001?011??0??110???10??1?1??
N0041 0?0?1?0011?0???10?00??1111???1??1??????1000?1????11011???1101?000?101
N0042 ??0????101??101????0?0?00????0?????01??1?0??????101?1101??0???111?0??
N0043 0?0?11?0??0?0?011??0?0???00??1?0???1???1???????111?011??0???0??0??0?1
N0044 0?01101?0?0?11?1?1?0??0?0??0??110?1?01??000?1????????1?00?0?1?000101?
N0045 0010?000??101??1?1011?0??1???101??0?11?1?0?1?????0??01??0????11?00?10
N0046 ??????1??1?0???01??1?1?0??10?1??011001??0?100??1010101???111???111111
N0047 1???????0??01?111?0??1?1??110????11001??110?11???11?010?00101?????100
N0048 ??11??0?01????10100?????1?111?0001??0?0?01?1000?????0?1?01001?1??11?0
N0049 ?11????01011???0???110??0?1???1?0?1????????1?0????11?0?1??11?10???011
N0050 1?????010???000?0?01011?0???1?0??000?1?0???000??1100?0??111?10?00???0
N0051 ??10??1010??001?1??????00???11??????0100???10??0?11111?1??10??0?10?1?
N0052 0?110??011??1???10?0011?10?1010???10???0??0??0???10?0??0?0?1??0?0?0??
N0053 1??0??01??11?1????01????11???1?010?00?1?0?01??1???0111?0????0???111??
N0054 ??1?01?111??1?0????????????111000??01?0?10?0?11?0??01010?0?0011?11?0?
N0055 ?111?001?????0??1010??0?10?11????110???0?10?00??0?11?0?101?0?0001???1
N0056 00???1101???1?010?1110?1?111??0?0111111???00?0?01?0????011??1??11????
N0057 ?010??10???11?0?1??11?0?000???1???0?1???01??????01010?0???10??0?00000
N0058 ?0?00??0?0??1?11??10?0011?0?10??1?01??0010101011????1??01???0??1??0??
N0059 1?1?1?1??0????1?11??11??10?110?11??0??00?1?1?1??10???10??001001??0??1
N0060 ??0??11?1??0?01110?11?1????1?100???10?0??????101?10????0??1?010?11??1
N0061 1???11010?0101??1??0111?1000???00?0??1?01?????0?1???0??0010?01?10?1?0
N0062 ?11?0?10?101???1??0??1?????01?1?001??11?011??1?0?1110?1???0??00?01?1?
N0063 101???????00?10??????0???0?0?111??100??0?110?0011??1?11???11????1??1?
N0064 10????11?10?1?1?0?????00011?1???0?0?0?1???010110?00??1?10?10?????0???
N0065 10?110?00?1100?0?11?0?10??0???1???????1??0??0?0?011?11??????111?11?11
N0066 ?000?0??10?00?01?0??01?0???1?1?101?01?1?00????1?1???1??1001010?0?????
N0067 ?0?11?0?1???111??0?00??0????1???1??11?????11?00?1??01???1?0???????1?0
N0068 0?00100?00???0?10110???????00???0?1???01???0101???11?0?00??11?1?0?100
N0069 00?0???1??1??01??1????1???00???10??010?0?110?0??????01?1?01?10???????
N0070 00??11000010???????1?0???010???00?11?10?1?0110?00?10?1???0101110??001

Percentual de inderteminacao ('?'): 50
