113 65
N0001 ??00?101??1?0111?010?010110100001010000010010?1110010010??1?0111?1??00101000?1100?000?1?10000?0?0??0?001011110111
N0002 101?10111?1001?11?10101001??10111??10?101100??001?0001111?01?111??110?010000?011110110010111100?11100?0?10?1?0011
N0003 110?10??0?00?110?1?0011??01011001101?00?0?000?101110010000?001?1010101010??00001111000?001100000?1001?001110??010
N0004 ?1000010010101101111?1??0?0111??0??01??10101110111?10101??0?0111010100101110?00001?100010?00100???001011001011111
N0005 01010?01111000??101110?0010??010??110101010?11001?10?0000000?1?101100?100?1010?11??11001111110000101101?1??1101??
N0006 11?11000?10011011010010?110101011???110?0110110001??10?00000111??1?0100?111?10?1010010011?001?1000?1??001010?1110
N0007 00001010?010011?011111101001?10000011000000011100101110?0001011010?0??01000?111?0100111?010??11?100011101?????100
N0008 ?0?110???10??11?1100?01?011001?10?10??1?0??1?0001?000100100?10001111000100??11110?100011?1000111?010?001111001100
N0009 0001100001?000110010??10100?0010101?000000101100?1110?01010100100010?100111111111110001111???0010101011100101100?
N0010 1?11101?0011100001110111?01010100111?010101001?0?001?0?101110?110?101?000001?1101??10?010110110001111?01011?10000
N0011 110100101001?0111111?01000?10000?010001?1?1?1111?0??111?101?10001??0?1?00?00000?000111??011??10?00?0100011100??01
N0012 11?11?01?1?1110011100010111010??1000??1?111?0010?1110?000000010010?1000011111??111?0???01000?01100?0????100100?00
N0013 ?1?110001?1000?0011?1010111?10??1?1?111000?01?1?10001?110?10??0100001110?011?01?11?10?0001?100???0?0101000101000?
N0014 001101????01000111?00001?0111?10?0111?11110??10?101??1100?0?000??11000010?1?11100010???0??1110?01001?1?000?10?100
N0015 010001?0101??100?11?0?110001111?0100?001101?01100111?10??10101??1001?11??0100?110?11??10????00011110?011?01010111
N0016 11?1000010??001?0111001?010111?1110?01?01001110000101?0?100?1?00?0000?001?0?00?10010?011?11?010001??01110?001?001
N0017 1110011100?10010000000?1101?01??0100111?0?0?1011100?01?1?1?0?0?1001001001001101000011110?10110111111?001001?01011
N0018 100?0?1000101?100100000101????11001101101011?10000?1?010?0011??010010001?1101101001?1110011111?01110001011100??01
N0019 1?000?01?0101?01?11??1?00?10001110000110101?10100111101111000?10011101?010011??010100110110?11?0??1?1000?1110?0??
N0020 ?00000001?1110110011001?11100100111?1011??101?110001??1111?110??00110011?10???0??11?1??0??1??1100??000001??1111?1
N0021 0000001?011000110011?01?1001?1000111??0101101111001010001000100111110??1101?000?101??00?11?10101000?01?0?0?000110
N0022 ?11?00??101?1101?1001111??100110000?01?110010?1?0011?010??1000?11111101000??000?10?011011001101?110100?1011101?01
N0023 000010?0001?001011?00101?0010111??11?1?101011?0?10?11101??11100?1?00000100?01100011??00101000110101?0010101?11001
N0024 ?10100?11?10101?0111?011111110?000001111000110111001111?10110?110?11111?11?101?00100?1101??01??010100?00111100001
N0025 00?01101000001??11?1001101100?1100010110100110??010011010000110?011?010?11?10??11110???1?10?0000?0?01011?00?1101?
N0026 00?11000000110010111010?00??1011??11110?001100011???1100?00100011?00?1111110110?011??1?01110?011010?10?0011?10?10
N0027 10?010??1??101???1100?100101001??1010?01011100?010??11?01?0101101?0?01010111100??00?011100111011101?0?000?0011100
N0028 0001?011??01100??010101?1?011?11101110001??0101111010101100?1100?011?1?000110011100111?1?01000?1101010010111101?1
N0029 11001?11111101?0?01100?0?011?10?110??11101100111010111?11?0?010?010??010????01010?0?010?1000000?0?00?100?1011?110
N0030 0011?01101001000101010110?10110?10101010110100?01011?110?10?110?11??000010110?100110?0010010001?10?11101?11111??1
