119 57
N0001 ??00?101??1????110010?010?11?1??0?????1?100??00?1?010?1110??100?0???1?0111??0?????1???1?0???1100?0??0??010????0?0?0????
N0002 ?0??101?011?1?111?1??1?111?1??01?11??0??1??0?01??1??1?10?1????1??01?????00?000???11100?011?0??11??01???????????111?0?1?
N0003 1?010?1001?0?1?11?0????10?1?0??11?00??1????0???0??11??1?0??11??0?1?1?1???1?1??0??0?0?000??1??011???10??00?001?1???1??0?
N0004 ?0??1???000??111?1?0????????11?0????0??0?01?0??11?1???01???1??0????1??010?0?11??1?1101?????0111??0??0?0?1010111??1?1010
N0005 1??1??0????111?1???1?010?111??00001??0?0???0??0??1??0?????0?0?1100101?1010?101?????1111????0???0?11?1??????1????0?1????
N0006 00??0?1010??11????0?1??000??00???1?1???10?????1?0??1??1???10?11001?11101?000?1?1101??0?1101??1?0?01?0???1001?0??00?1??0
N0007 10?1101???0?1?0???11?????01??11???01???0??0??0????11?0?1?01?????1?10?0??101????1001?0?????0?0?00?1??00?1?1???11?1?????0
N0008 01010?01????1?0???111010??0?01??0?0??001100??00??0?011?01??1110?0001??1?1?10?0??01????0??110??10???010010???101????0?11
N0009 0?1?????10???0?11??????1???11??11?0?01???1?1?01??0??10???00??1???????1???0???0?0?0?0?1??????111100??100??11?11??1000?10
N0010 1000?1100?1??00?0001?0110??00???11?0??01?00???11???10???0??1?????????1??1?1?00??????010?10?0?11?1??0101??10010????10??1
N0011 ?011111?001000???0111?0??00?0?101???111???10?11?0?1??101??0??0111????????11?1??11001???0?100?110??1???1?1??0?00???01?0?
N0012 ?0?1?11??1?1???1?1?00000?011??1???0??0?0??10?1100???11100?1?1?010??00?10?1?????1?100?0011111?0??100???1??000?010001?1?1
N0013 ??01100??1?00?1?1?100??1??0??00???00000?00??11?0???1?0?1?????0????0?0011100??0?01011????0?011?1?0?011?????1??11?1??1???
N0014 10??????1?111?????1???11?1??000????00?1???1????1?0??01111?0?11?0?????0?0?0???011??0?0?????1????1?0?00?1?11??001?100????
N0015 ???11?1??10?10010???01?1?11???0???1?1??0???01??11???1???01????0011?1??011?01??1010?0001??1?0??????01??1??????10?0?0???0
