147 64
N0001 ??00?101??1????110010?010?11?1??0?????1?100??00?1?010?1110??100?0???1?0111??0?????1???1?0???1100?0??0??010????0?0?0?????0??101?011?1?111?1??1?111?1
N0002 ??01?11??0??1??0?01??1??1?10?1????1??01?????00?000???11100?011?0??11??01???????????111?0?1?1?010?1001?0?1?11?0????10?1?0??11?00??1????0???0??11??1?
N0003 0??11??0?1?1?1???1?1??0??0?0?000??1??011???10??00?001?1???1??0??0??1???000??111?1?0????????11?0????0??0?01?0??11?1???01???1??0????1??010?0?11??1?11
N0004 01?????0111??0??0?0?1010111??1?10101??1??0????111?1???1?010?111??00001??0?0???0??0??1??0?????0?0?1100101?1010?101?????1111????0???0?11?1??????1????
N0005 0?1????00??0?1010??11????0?1??000??00???1?1???10?????1?0??1??1???10?11001?11101?000?1?1101??0?1101??1?0?01?0???1001?0??00?1??010?1101???0?1?0???11?
N0006 ????01??11???01???0??0??0????11?0?1?01?????1?10?0??101????1001?0?????0?0?00?1??00?1?1???11?1?????001010?01????1?0???111010??0?01??0?0??001100??00??
N0007 0?011?01??1110?0001??1?1?10?0??01????0??110??10???010010???101????0?110?1?????10???0?11??????1???11??11?0?01???1?1?01??0??10???00??1???????1???0???
N0008 0?0?0?0?1??????111100??100??11?11??1000?101000?1100?1??00?0001?0110??00???11?0??01?00???11???10???0??1?????????1??1?1?00??????010?10?0?11?1??0101??
N0009 10010????10??1?011111?001000???0111?0??00?0?101???111???10?11?0?1??101??0??0111????????11?1??11001???0?100?110??1???1?1??0?00???01?0??0?1?11??1?1??
N0010 ?1?1?00000?011??1???0??0?0??10?1100???11100?1?1?010??00?10?1?????1?100?0011111?0??100???1??000?010001?1?1??01100??1?00?1?1?100??1??0??00???00000?00
N0011 ??11?0???1?0?1?????0????0?0011100??0?01011????0?011?1?0?011?????1??11?1??1???10??????1?111?????1???11?1??000????00?1???1????1?0??01111?0?11?0?????0
N0012 ?0?0???011??0?0?????1????1?0?00?1?11??001?100???????11?1??10?10010???01?1?11???0???1?1??0???01??11???1???01????0011?1??011?01??1010?0001??1?0??????
N0013 01??1??????10?0?0???0??110?0???0?1?0???1000000?0???11010?011?01?101???10??1?1???01????0?000??11????0010??01110?????0????0??1?01??01001?1?00????1??1
N0014 ????0?0?????1?0?1??0?100?11?0??01?0??1111????0??????0?00?1???1?0?01?10?1????0?1??1???1?01?11????1??0?110?11??1??????0????1?010??0?00??10?1?11?110?1
N0015 ?????0?1???0???00?001???1???1011?01?01??0?0???1?0?111?000?1?1????10???1?00?????0???0??1?0???0??1?010?0?00?100?1?001????11?0??001?0011?11?01?10?0?1?
N0016 ?01??0??0??00??10??0???0????1???111?0?????1?111?????01?1?1?0?0?1001001001????11010000?1000???1?11011111?0001001?0101?10?0?0?100??101??0???1??????0?
N0017 ?10?0????11?0?11??10?101?010????0?1?0?1??0011??0?1?0?1?????1??01??01?1??01?11?1?0111?100?111?0???1??110?0??011?0??0?0?0??1??1?01?1?0?1?0???1000111?
N0018 ?0001?1??1?1??0?10??11?01?1?100?00??0???11?0?1?0?1???11??0?1??1?01101?1???00?????01000?1110?0???0??0????0???0?001?11??0?10?0?0111??0?1?0111?10?10?1
N0019 01??00?00?0?111?0?01?????011001?0?0?????????001???????0?1?0?0????0??0??1??1?000?1?0????001?011??0??110???10??1?1??0?0?1?0011?0???10?00??1111???1??1
N0020 ??????1000?1????11011???1101?000?101??0????101??101????0?0?00????0?????01??1?0??????101?1101??0???111?0??0?0?11?0??0?0?011??0?0???00??1?0???1???1??
N0021 ?????111?011??0???0??0??0?10?01101?0?0?11?1?1?0??0?0??0??110?1?01??000?1????????1?00?0?1?000101?0010?000??101??1?1011?0??1???101??0?11?1?0?1?????0?
N0022 ?01??0????11?00?10??????1??1?0???01??1?1?0??10?1??011001??0?100??1010101???111???1111111???????0??01?111?0??1?1??110????11001??110?11???11?010?0010
N0023 1?????100??11??0?01????10100?????1?111?0001??0?0?01?1000?????0?1?01001?1??11?0?11????01011???0???110??0?1???1?0?1????????1?0????11?0?1??11?10???011
N0024 1?????010???000?0?01011?0???1?0??000?1?0???000??1100?0??111?10?00???0??10??1010??001?1??????00???11??????0100???10??0?11111?1??10??0?10?1?0?110??01
