63 62
N0001 ??00?101??1???111?010?010?11?1?10???10100??00?11?10?1110??10010
N0002 ??1?0111??0???01???1?0?01100?000??0100??0?0?0?????0?11?1?011101
N0003 11?1?10111?1001?11?1?0100?01??1?1010?1????1??010???00?000???111
N0004 00?011?0?110?010??0?????1111?101?010?10011??11100?0?10?1?0??11?
N0005 00??1????0?00??11??1?0?110?0?1?1?1??10100??0?0?000?10?011???10?
N0006 ?00?001?1010101???1???0000111?1?00?0???11?0??00??0?01?0??11?1??
N0007 ?01???100??010010?0110?1111?1?????0111??0??0?0?101011101?101010
N0008 1??0????1111001?0101110?00001?1000?0??0??100???001??1100101?101
N0009 0?101???011110??0??1??11?10001????0?1????00??0?1010?110???0?1??
N0010 000??000?1?1?0100???11???1?10?11??11001?11101?000101101??0?1101
N0011 ??11??01?00?10011?000?1??010?1101???0?1?0???11?????01?110??01??
N0012 1?00?1?????11?0?1?01?????1?10?0??1010??1001?0?????01??00?1??00?
N0013 1?10?11?1???0001010?01??011????111010?1001?1?1???001100000??01?
N0014 11?01??1110?0001??11010?0??01????0??1100100111?010???101000?110
N0015 ?1?????100?0?11??????1???11?1100?01??1011101???10??1?0??1??????
N0016 ?1???0??1??0?0?0?1???0?111100??100??11?11??1000?101000111?010?0
N0017 0?0001?0110000???11?0001?000110??10???0?100?0?01?101?00??????01
N0018 0?10?0?1110?0101??10010????10??1?011111?001000?00111?0??00?011?
N0019 10?111???101100?1?1110?0??011100????1110111?01??1??100?110??1?0
N0020 1?1001?0???01?0?1??1?1101?1???11000000?011??1???0??0?0??10?1100
N0021 ??1111?0101?010000?10?100?1?1001?011111?001000?1?1?00?010001?1?
N0022 1??01100??1?00?1?1?10001??0??00???00000?00?1100???1?0?10???0???
N0023 ?0?0011100??01?1011???1??011?1?01?11?00101110?1???10??????1?111
N0024 ?????1???11?1??0000??0010??10??11??1?1111?0?11?0?????0?0?0???01
N0025 1??0?0?????1??01?0?00?1?11??001?1000?0??11?101011?010??1?1?1110
N0026 ?10??1?1?1?0?01??110?1???01????0011?10011?01??1010?0001?100???0
N0027 ?01??1?00?101??0?00??110?0???0?1?00?1000000?00?11010?011?01?101
N0028 0?10?101???01????0?000??11????0010??01110?????0????0??1?01??010
N0029 01?1?00???10?1000?0?????1?0?1??0?100?11?0??011???1111???1??0??1
N0030 00010011??0111??1????010?1???11?1?11??0100?110?11??10????0???10
N0031 010??0?00010?111011010?0?0?10?00?0011?1???1???1011?01?01??0?00?
N0032 1?01110000101??0100?1?00?????00?0??1?0???0?10010?0?00?100?111?1
N0033 ????11?0??001?001111001?101??100100??0000?1101?01?????1?0111?0?
N0034 0??1?111??0?01?1?1?0?0?10010010010011010000?1000???1?110111111?
N0035 001001?0101?101??0?100?11?1??0010?????0??10?0????11?0?11?11??10
N0036 11?10?01??1?0?1??0011??0?1?0?1?????1??0100110?01?11?1?0111?100?
N0037 111?0???1?111??0??011?0??0?0?00101?01?1?0?1?00?1000111??0001?1?
N0038 ?1?1?1?11??11001?1?100?00?1????111?100?1??110?010?1?0110110?11?
N0039 ?0?1?1000?1110?0???0??00000?01?01?11??0?10?01?111??0?1?0111?10?
N0040 10?101??001?01??111?0?01?????011001?0?0????0??1?01??????1??11??
N0041 0????0??001??11?00?1?0????001?01100?111???11???1?1??01??11?011?
N0042 0?010?00?11110??101?0?01000?1????11011???1101?000?101??00?11?1?
N0043 ?101??00?0?00?0?00???01??11???????101?1101??0???111?0??0?011000
N0044 0?01?11001????00??1?0???1???1????0?111?011??0???0??000?10?01101
N0045 1??0?11?1?11??100?1???110?1?010000?10?????10001011?00101?00101?
N0046 00??101?101011?0??1??11?1??0?11?1?0?1??0?0??01??0?011000?10??0?
N0047 10100??1?1??1?1?0??10101?11001??0?100??1010101??1110??11111110?
N0048 000??01?111?0??110?110???1111?1??110?110?11?010?00101?0?11?0??1
N0049 1?1??01????10100?001?111?000100?0?01?1000????1??11?1001?1??111?
N0050 ?11???1?1011??1??0110??0?1?01?0?10?00?1?00??11?0?1??11?10???011
N0051 1?????010?0000?0?01011?0?01?00000?11??0000?111?0?0??11111??00??
N0052 ?0??10??10100001?1?0???00??1100???0100???10??0?11111?1?11???0?1
N0053 0?1?0?1100011010?10?0011?10?1010??11????0?1???0???101???0101??0
N0054 ?01???1?10?01?1101??001????11?01?010?00100?01??1???0111?0??00?0
N0055 111001?01?111?100??0????????111000??01?0?10?01100??01010?0?0011
N0056 ?11?0?1110001??01?01010?1??10110???1100?0?10?00??0?11?0?101?0?0
N0057 001?0100???1101?01?010?1110?1?111??0?0111111?000?0?01?0??0011?1
N0058 0?110??1?10??10?011?0?10111??000???10?0?1???01??????01010?0??11
N0059 ???0?00000?0?00??01???11101100011?0?1001?01??0010101011????1?11
N0060 0?10?1??0??1?1?1?100????1?11??11010?110?11??0000?1?1?1??10??110
N0061 ?00100100??1??0??11101??01110?11?10??1?100??11??00???11?1?100??
N0062 0??1?010?11??11???11010?0101??1?111101000??1?0?0??1?010??101???

Percentual de inderteminacao ('?'): 40
