146 113
ancestor                         1000000000000000101111000000000000000000000000000????0000??000000000000000000000000000000000000000000000000000000001111110000000000000000000000000
araguaiana                           10100000000000000011110000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000010110000000010
carmelitana                           10100000000000000011110000000100000000000000000000000000010000000000000000111000011110011011000000000000000000000010000000100000000010110000000010
carvalhoi                           10100000000000000011110000000100000000000000000000000000010000000000000000000000010100010000000000000000000000000010000000100000000010110000000010
hansoni                           10100000000000000011110000000100000000000000000000000000000000000000000000100101011110011011010000000000000100000010000000100000000010110000000010
maldonadoi                           10100000000000000011110000000100000000000000000000000000000000000000000000100101011110011000010000000000000100000010000000100000000010110000000010
rondonia                           10100000000000000011110000000100000000000000000000000000010000000000000000000000011110011010000000000000000000000010000000100000000010110000000010
vulgaris                           10100000000000000011110000000100000000000000000000000000010000000000000000111000010100010000010000000000000100000010000000100000000010000000010010
australis                           10100000000000000011110000000110000000000000000000000000011000000000000000111000011110011000010000000000000100000010000000100000000010000000000011
liberiensis                           1010000000000000001111000000010000000000000000000????000000000000000000000????????????????000??000000000000??0000010000000100000000010110000000010
nigra                           10100000000000000011110000000100000000000000000000000000011000000000000000100000011110011010010000000000000100000010000000100000000010???000000011
pacificae                           10100000000000000011110000000100000000000000000001010000010000000000000000100101011110011010010000000000000100000010000000100000000010000000000011
papuensis                           10100000000000000011110000000000000000000000000000000000011000000000000000100101010100010010010000000000000100000010000000100000000000100000000010
piceoniger                           10100000000000000011110000000100000000000000000000000000011000000000000000100101011110011011010000000000000100000010000000100000000010110000000011
rufescens                           10100000000000000011110000000100000000000000000001010000011000000000000000100101010100010010010000000000000100000010000000100000000010100000000010
suturalis                           10100000000000000011110000000100000000000000000001010000010000000000000000100101011110011010010000000000000100000010000000100000000010000000000011
arecae                           10100000000000000011110000000100000000000000000001010000010000000000000000100101010100010010010000000000000100000011111111100000000010111000010000
austsamueli                           10100000000001010100000100000000000000000000000001010000010000000000000000100101010100010011010000000000000100000011000000110000000010110000011100
cunealis                           10100000000001010100000100000000000000000000000001010000010000000000000000100101010100010010010000000000000100000011000000110000000010110000011100
nairobi                           10100000000001110100000000000000000000000000000001010000010000000011001100100101010100010011011000000000000100000011000000110000000010110000011100
nigritula                           101000000000010101000001000000000000000000000000010??000010000000000000000100101011110011110010000000000000000000011000000110000000010???000011100
transvaal                           1010000000000111011111000000010100000000000110000????000000000000000000000000000010100010000000000000000000000000011111110111000000010???000011100
cynanchi                           1010000000000111011111000010111??10010100001000001010001010000000100000000000100011110011010010000000000000100000011110000111100000010111000111100
uniformis                           1010000000000111011111000010111??10010100001000001010001010000000100000000000000010100010010011111100000000100000011110000111100000010111000111100
russeola                           1010000000000111011111000010110??00010000001000001010001010000000100000000000000010100010010000000000000000000001111110000111100000010111000111100
samaru                           1010000000000111011111000000110??00000000001000001010000010000000100000000000000010100010010000000000000000000001011111000111000000010111000111000
yotvata                           1010000000000111011111000000110??00000000001000001010001010000000100000000000000010100010010000000000000000000001011111000111000000010111000111000
linnavuoi                           00100000000001110111110000110100000011100000000001000100000000000100000000000110010111011100010111100000001110100011111100110100000010111000010000
lestoni                           001000000000010101000000001001000000111000000100011??100000000000100000000000000010100010010011100000000001100100011111100110100000010111000010000
demmingi                           10100000000000000011110000000100000000000000000001100001000000000000000000100101011110011011010000000000000100001011000000110100000010111000010000
ifugao                           10100000000000000011110000000100000000000000000001100001011000000000000000100101011110011011000000000000000000001011111111110110110010111000010000
koroba                           10100000000000000011110000000100000000000000000001100001011000000000000000100101011110011010010000000000000000001011111111110110000010111011010000
maesta                           10100000000000000011110000000100000000000000000001100001011000000000000000100101011110011011010000000000000100001011100000110000000010111000010000
morobe                           10100000000000000011110000000100000000000000000000000001011000000000000000100101011110011011000000000000000000001011000000110100000010111000010000
munroi                           10100000000000000011110000000100000000000000000001100001011000000000000000100101011110011011010000000000000100001011000000110100000010111000010000
opima                           10100000000000000011110000000100000000000000000001100001011000000000000000100101011110011011010000000000000100001011000000110100000010111000010000
rustenbes                           10100000000000000011110000000100000000000000000000000001010000000000000000100101011110011011010000000000000100001011000000110100000010110000010000
visci                           10100000000000000011110000000100000000000000000001100000011000000000000000100101011110011011010000000000000100001011000000110110000010111000010000
heidemanni                           00101001000000001000000000000100011010000000011111010111100000000000000000100101011110011010010000000000000101000011000000110110000010111100010000
druthmarus                           00101001000000001000000000000100000000000000010001111000000000000000000000100101011110011011010000000000000100000011000000110110000010111010010000
aenescatr                00100001000000000000000000100111011011000001100000000000010000000000000000000111100111011100010000000000000110000011000000110110100010111000010000
amplus                           10100000000000000000000000000111011000000001100000000001010000000000000000111101000111011100010000000000000110000011000000110110111010111000010000
samoanus                           00101100000000000011000000000101100011100000011100000101000000000000000000000000000??????????11100000000000??0100011000000110100000010111000000010
alstakeri                           00101111000110000000000000100101011011101000011101111000000000000100000000000111100111011111111110010000000001100011000000110110000010111010010000
arboreus                           00101110000010101011000000110110011011111100011101100001100011000110001000000001100111100011111100000000001111110011000000110110000010111000010000
dailahn                           00101110000111001011000000110110011011111000011101100000000000000100000000000111100111011111111100010000000001110011000000110101000010111000010000
daradae                           001010000001010010110000001000000110111010000000011110000000000000000000000000011001110111111111110000000010011000110000001101?0????101110??010000
formosa                           00101100000111001011000000110110011011101000011101100000000000000100000000000111100111111111111100000000001001100011000000110101000010111000010000
fyan                           00101001000011101011000000100000011011101000011101100100000010001111111111000001100111011111111100010000000001100011000000110110000010111100010000
kockensis                           00101110000110101000000000000000011011101000011101100100000011100111001100000111100???????11111100010000000001100011000000110100000010000000000010
pilosus                           00101101000100101000000000110101011011101000011101111000000000000000000000000111100111100011111100000000001001100011000000110110000010111100010000
torrevill                           00101111000111001000000000110101011011101000011110010101000000000000000000000111100111011111111110010000000001100011000000110110000010111010010000
typicus                           00101101000111101011000000110101011011101000011101100000000000000000000000000111100111000011111100010000000001100011000000110110000010111000010000
sundae                           00100001000001001011111100100000011011101000000001111000000000000100000000000000000111011111111110010000000001100011000000110000000010111000010000
culion                           001111011000111010111001101001000110111010000111011??100000100000111000000000110000111011100011100010000000001100011000000110100000010111000010000
myrmecoides                          001011011101111010111001001001000110111010000111011??110000100000111000000000000000111011111111100010000000001100011000000110110000010111000010000
prolixus                          001010011110101010111001001001000110111010000100011001000001000001110000000001111001111111111111000100000001111000????????????????????????????????
furvus                           11101001000000001000000000100100011111101000010001111000000010000011111111000111100111011100011100000000010111100011000000110100000010111000010000
heidemanni                           11101001000000001000000000100100011111101000010001111100000010000011111111000111100111011100011100000000010111100011000000110100000010111000010000
juniplaetus                           00101101000000001011000000100101011011101000011111111101000000000000000000000111100111011111111100011000000111100011000000110110000010111100010000
americanus                           00101001000000001000000000100101011011101000011101111100000000001000000000000111100111011111111100010000000111100011000000110110000010111100010000
amoenus                           00101001000000001011000000100101111011101000011101011101000000000000000000000111100111011111111100010000000111100011000000110110000010111100010000
angustulus                           001000010000010010000000001000010110111010000000011????????0111000110011000001111001110111111111000100000001111000110000001101??????????????010000
cinnamopte                           00100001000001001000000000100101011011101000011101111100000000000000000000000111100111011111111100010000000111110011000000110110000010111100010000
concolor                           00101101000001001011000000100001111011101000011111111111100010000011111111000111100111011111111100010000000111100011000000110110000010111100010000
crassipes                           00101101000001001000000000100111111011101000011100011111000010001011111111110111100111011111111100010000000111100011000000110110000010111100010000
diffusus                           00101001000001001000000000100101011011101000000001111100000000000100000000000111100111011111111100010000000111100011000000110110000010111100010000
henryi                           00101101000001001000000000100101011011101000011100000101000010001011111111000111100111011111111100010000000111100011000000110110000110111100010000
lucidus                           00101001000000001011000000110110011011101000000001111001000010000011111111000111100111011111111100011000000001100011100000100110100010111000010000
piceicola                           00101101000001001011000000100001111011101000011111011111000000000000000000000111100111011111111100010000000111100011000000110110000010111100010000
strobicola                           00101001000000001000000000100101111011101000011101011101000000000100000000110111100111011111111100010000000111100011000000110110000010111100010000
taxodii                           00101101000001001000000000100101111011101000000000010101000000000000000000000111100111011111111100010000000001100011000000110110000110111100010000
tibialis                           00101101000000001000000000100001111011101000000000010111100000000100000000000111100111011111111100010000000111100011000000110110000110111100010000
uhleri                           00101101000000001000000000100101111011101000000001111101000000001100000000000111100111011111111100010000000111100011000000110110000010111100010000
cembroid                           00101001000001001011000000000001011011101110000001111000000011110111101110000111100111011111111100011100000111100011000000110110000010111100010000
clavicornis                           00101001000001001011000000000001011011101110011101100100000011110111101110000111100111011111111100011100000111100011000000110110000010111100010000
dislocatus                           00101001000001001000000000100101011011101110011101111000000000000000000000000111100111011111111100011101000111100011000000110110000010111100010000
exiguus                           00101001000001001011000000000000010011101110000001111000000000000000000000000111100111011111111100011100000111100011000000110110000010111100010000
floridanus                           00101000000000001000000000000101111011101110000000000000000000000000000000000111100111011111111100011101100111100011000000110110000010111000010000
fuscipenn                           00101001000001001011000000000000011011101110011101100000000000000000000000000111100111011111111100011100000111100011000000110110000010111100010000
geminus                           00100000000000001000000000000100011011101110000000000000000000000000000000000111100111011111111100011101000111100011000000110110000010111100010000
gracilis                           00101000000000001011000000000101011011100000000000000000010000000000000000000000000111011111100000000000000001100011000000110110000010111100010000
schaffneri                            00101000000000001000000000100101011011101110011111111001000000000000000000000111100111011111111100011101000111100011000000110110000010111100010000
